,Constrain,Graph,Prop_Correct,Network
497,4,16,0.34801397,Resnet50
498,4,16,0.34905556,Alexnet
499,4,16,0.33711094,VGG16
500,4,16,0.34970564,Resnet50
501,4,16,0.3490671,Alexnet
502,4,16,0.33533382,VGG16
503,4,16,0.34507447,Resnet50
504,4,16,0.349845,Alexnet
505,4,16,0.3362384,VGG16
506,4,16,0.3460239,Resnet50
507,4,16,0.3504339,Alexnet
508,4,16,0.33613312,VGG16
509,4,16,0.34765068,Resnet50
510,4,17,0.35116497,Alexnet
511,4,17,0.33403617,VGG16
512,4,17,0.34317553,Resnet50
513,4,17,0.3487572,Alexnet
514,4,17,0.33472374,VGG16
515,4,17,0.34083322,Resnet50
516,4,17,0.34035665,Alexnet
517,4,17,0.33374968,VGG16
518,4,17,0.33977255,Resnet50
519,4,17,0.34625584,Alexnet
520,4,17,0.33361083,VGG16
521,4,17,0.3387351,Resnet50
522,4,17,0.34645632,Alexnet
523,4,17,0.33206096,VGG16
524,4,17,0.3421177,Resnet50
525,4,17,0.34129602,Alexnet
526,4,17,0.33450195,VGG16
527,4,17,0.3394719,Resnet50
528,4,17,0.3457612,Alexnet
529,4,17,0.33407888,VGG16
530,4,17,0.34126508,Resnet50
531,4,17,0.34064925,Alexnet
532,4,17,0.33289775,VGG16
533,4,17,0.33793464,Resnet50
534,4,17,0.34593615,Alexnet
535,4,17,0.33443317,VGG16
536,4,17,0.34197843,Resnet50
537,4,17,0.3439216,Alexnet
538,4,17,0.33477443,VGG16
539,4,17,0.33888352,Resnet50
540,4,18,0.34237438,Alexnet
541,4,18,0.3330692,VGG16
542,4,18,0.3420004,Resnet50
543,4,18,0.34367844,Alexnet
544,4,18,0.33236918,VGG16
545,4,18,0.3395069,Resnet50
546,4,18,0.34392506,Alexnet
547,4,18,0.33086273,VGG16
548,4,18,0.34468737,Resnet50
549,4,18,0.34360126,Alexnet
550,4,18,0.33214882,VGG16
551,4,18,0.3462109,Resnet50
552,4,18,0.349317,Alexnet
553,4,18,0.33453354,VGG16
554,4,18,0.34382167,Resnet50
555,4,18,0.33713037,Alexnet
556,4,18,0.33226246,VGG16
557,4,18,0.34152362,Resnet50
558,4,18,0.34677458,Alexnet
559,4,18,0.3328198,VGG16
560,4,18,0.34213305,Resnet50
561,4,18,0.34105882,Alexnet
562,4,18,0.33054596,VGG16
563,4,18,0.33813444,Resnet50
564,4,18,0.34785798,Alexnet
565,4,18,0.333506,VGG16
566,4,18,0.34030938,Resnet50
567,4,18,0.3455281,Alexnet
568,4,18,0.33252952,VGG16
569,4,18,0.3443172,Resnet50
570,4,19,0.34278893,Alexnet
571,4,19,0.33673146,VGG16
572,4,19,0.34404153,Resnet50
573,4,19,0.3420305,Alexnet
574,4,19,0.33634645,VGG16
575,4,19,0.3437588,Resnet50
576,4,19,0.34262273,Alexnet
577,4,19,0.33616635,VGG16
578,4,19,0.34253424,Resnet50
579,4,19,0.34232998,Alexnet
580,4,19,0.33621308,VGG16
581,4,19,0.34203595,Resnet50
582,4,19,0.34255224,Alexnet
583,4,19,0.33707842,VGG16
584,4,19,0.34438115,Resnet50
585,4,19,0.34264073,Alexnet
586,4,19,0.33774513,VGG16
587,4,19,0.34335876,Resnet50
588,4,19,0.34279612,Alexnet
589,4,19,0.33660012,VGG16
590,4,19,0.34438643,Resnet50
591,4,19,0.342948,Alexnet
592,4,19,0.33745113,VGG16
593,4,19,0.34508228,Resnet50
594,4,19,0.34330708,Alexnet
595,4,19,0.3365701,VGG16
596,4,19,0.34372115,Resnet50
597,4,19,0.34397846,Alexnet
598,4,19,0.33675793,VGG16
599,4,19,0.3448829,Resnet50
600,3,0,0.3344293,Alexnet
601,3,0,0.3324786,VGG16
602,3,0,0.34118313,Resnet50
603,3,0,0.34157428,Alexnet
604,3,0,0.33889794,VGG16
605,3,0,0.3433886,Resnet50
606,3,0,0.31683838,Alexnet
607,3,0,0.31193158,VGG16
608,3,0,0.31885958,Resnet50
609,3,0,0.3394973,Alexnet
610,3,0,0.33805713,VGG16
611,3,0,0.34067652,Resnet50
612,3,0,0.33508968,Alexnet
613,3,0,0.33307862,VGG16
614,3,0,0.343129,Resnet50
615,3,0,0.33379477,Alexnet
616,3,0,0.3240497,VGG16
617,3,0,0.3304217,Resnet50
618,3,0,0.33941537,Alexnet
619,3,0,0.3334144,VGG16
620,3,0,0.33679092,Resnet50
621,3,0,0.31675673,Alexnet
622,3,0,0.3117555,VGG16
623,3,0,0.3227242,Resnet50
624,3,0,0.33764833,Alexnet
625,3,0,0.33745036,VGG16
626,3,0,0.3397832,Resnet50
627,3,0,0.31918213,Alexnet
628,3,0,0.3119556,VGG16
629,3,0,0.31643406,Resnet50
630,3,1,0.34189117,Alexnet
631,3,1,0.33689362,VGG16
632,3,1,0.3454083,Resnet50
633,3,1,0.33022973,Alexnet
634,3,1,0.33172092,VGG16
635,3,1,0.3350187,Resnet50
636,3,1,0.34003124,Alexnet
637,3,1,0.3354208,VGG16
638,3,1,0.34053844,Resnet50
639,3,1,0.34583962,Alexnet
640,3,1,0.3355175,VGG16
641,3,1,0.34298384,Resnet50
642,3,1,0.332099,Alexnet
643,3,1,0.3333256,VGG16
644,3,1,0.3348127,Resnet50
645,3,1,0.33935916,Alexnet
646,3,1,0.3359644,VGG16
647,3,1,0.3456334,Resnet50
648,3,1,0.33882457,Alexnet
649,3,1,0.3343887,VGG16
650,3,1,0.34349015,Resnet50
651,3,1,0.33319756,Alexnet
652,3,1,0.3321099,VGG16
653,3,1,0.33547124,Resnet50
654,3,1,0.3326699,Alexnet
655,3,1,0.3288195,VGG16
656,3,1,0.3378929,Resnet50
657,3,1,0.3489904,Alexnet
658,3,1,0.3401544,VGG16
659,3,1,0.34465578,Resnet50
660,3,2,0.3423527,Alexnet
661,3,2,0.3329266,VGG16
662,3,2,0.3354787,Resnet50
663,3,2,0.33253464,Alexnet
664,3,2,0.33277494,VGG16
665,3,2,0.33540097,Resnet50
666,3,2,0.3377948,Alexnet
667,3,2,0.33564004,VGG16
668,3,2,0.3397455,Resnet50
669,3,2,0.33878082,Alexnet
670,3,2,0.33238953,VGG16
671,3,2,0.3355187,Resnet50
672,3,2,0.32931945,Alexnet
673,3,2,0.3280954,VGG16
674,3,2,0.3326407,Resnet50
675,3,2,0.33491462,Alexnet
676,3,2,0.3307473,VGG16
677,3,2,0.3364788,Resnet50
678,3,2,0.33789068,Alexnet
679,3,2,0.33079425,VGG16
680,3,2,0.33860618,Resnet50
681,3,2,0.34261033,Alexnet
682,3,2,0.33346358,VGG16
683,3,2,0.33348778,Resnet50
684,3,2,0.3438289,Alexnet
685,3,2,0.3345192,VGG16
686,3,2,0.34073314,Resnet50
