,Constrain,Graph,Prop_Correct,Network
450,4,15,0.35225558,Alexnet
451,4,15,0.3404323,VGG16
452,4,15,0.34793055,Resnet50
453,4,15,0.3569104,Alexnet
454,4,15,0.34415874,VGG16
455,4,15,0.35288903,Resnet50
456,4,15,0.358547,Alexnet
457,4,15,0.3431653,VGG16
458,4,15,0.3577933,Resnet50
459,4,15,0.35668498,Alexnet
460,4,15,0.34072748,VGG16
461,4,15,0.35832,Resnet50
462,4,15,0.35021642,Alexnet
463,4,15,0.33974576,VGG16
464,4,15,0.34821993,Resnet50
465,4,15,0.34096414,Alexnet
466,4,15,0.33401847,VGG16
467,4,15,0.3415794,Resnet50
468,4,15,0.34616214,Alexnet
469,4,15,0.3352567,VGG16
470,4,15,0.3495745,Resnet50
471,4,15,0.3536372,Alexnet
472,4,15,0.34763226,VGG16
473,4,15,0.34777364,Resnet50
474,4,15,0.35745665,Alexnet
475,4,15,0.3467925,VGG16
476,4,15,0.3589361,Resnet50
477,4,15,0.36129147,Alexnet
478,4,15,0.35835657,VGG16
479,4,15,0.3591854,Resnet50
480,4,16,0.34460592,Alexnet
481,4,16,0.3346104,VGG16
482,4,16,0.34463152,Resnet50
483,4,16,0.34149122,Alexnet
484,4,16,0.33888736,VGG16
485,4,16,0.3413392,Resnet50
486,4,16,0.34403515,Alexnet
487,4,16,0.33622596,VGG16
488,4,16,0.34045509,Resnet50
489,4,16,0.34616148,Alexnet
490,4,16,0.33656693,VGG16
491,4,16,0.3403228,Resnet50
492,4,16,0.34222296,Alexnet
493,4,16,0.33609205,VGG16
494,4,16,0.34869227,Resnet50
495,4,16,0.34270313,Alexnet
496,4,16,0.3360633,VGG16
497,4,16,0.34665418,Resnet50
498,4,16,0.34455556,Alexnet
499,4,16,0.3386552,VGG16
500,4,16,0.35138538,Resnet50
501,4,16,0.34072995,Alexnet
502,4,16,0.3371583,VGG16
503,4,16,0.34475672,Resnet50
504,4,16,0.34219468,Alexnet
505,4,16,0.33655792,VGG16
506,4,16,0.34679338,Resnet50
507,4,16,0.34392914,Alexnet
508,4,16,0.3371073,VGG16
509,4,16,0.34648454,Resnet50
510,4,17,0.34550357,Alexnet
511,4,17,0.33544877,VGG16
512,4,17,0.3385753,Resnet50
513,4,17,0.34234345,Alexnet
514,4,17,0.33532578,VGG16
515,4,17,0.33864096,Resnet50
516,4,17,0.3417215,Alexnet
517,4,17,0.33550668,VGG16
518,4,17,0.33945292,Resnet50
519,4,17,0.34255725,Alexnet
520,4,17,0.3350218,VGG16
521,4,17,0.3383229,Resnet50
522,4,17,0.341455,Alexnet
523,4,17,0.3345294,VGG16
524,4,17,0.3386825,Resnet50
525,4,17,0.34229502,Alexnet
526,4,17,0.33509684,VGG16
527,4,17,0.33642903,Resnet50
528,4,17,0.341968,Alexnet
529,4,17,0.3355427,VGG16
530,4,17,0.33805826,Resnet50
531,4,17,0.3382914,Alexnet
532,4,17,0.3350191,VGG16
533,4,17,0.33942297,Resnet50
534,4,17,0.34079093,Alexnet
535,4,17,0.33703747,VGG16
536,4,17,0.3412085,Resnet50
537,4,17,0.34050918,Alexnet
538,4,17,0.3366758,VGG16
539,4,17,0.34107473,Resnet50
540,4,18,0.3473701,Alexnet
541,4,18,0.34029284,VGG16
